,id,host_since,host_neighbourhood,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,bed_type,square_feet,price,security_deposit,cleaning_fee,availability_365,number_of_reviews,review_scores_value,cancellation_policy,calculated_host_listings_count,geolocation,profile_pic,identity_verified,location_exact,instant_bookable,license_required,guest_pic_required,superhost,guest_phone_verification
0,15141125,2016-09-20,,2.0,Embajadores,Centro,28005,40.40745268477803,-3.707995475443264,Loft,Entire home/apt,Real Bed,,50.0,100.0,20.0,66,30,10.0,moderate,2.0,"40.40745268477803, -3.7079954754432634",True,True,False,True,True,False,True,False
1,9470166,2013-11-08,Hortaleza,13.0,Embajadores,Centro,28012,40.40831556101927,-3.705006385704201,Apartment,Entire home/apt,Real Bed,,50.0,250.0,15.0,347,97,8.0,strict,13.0,"40.40831556101927, -3.705006385704201",True,True,False,True,True,False,False,False
2,17444981,2017-02-25,,1.0,Embajadores,Centro,28012,40.413722014584295,-3.706823118653672,Apartment,Entire home/apt,Real Bed,,77.0,,25.0,155,7,10.0,moderate,1.0,"40.413722014584295, -3.7068231186536718",True,True,False,True,True,False,False,False
3,3284565,2012-03-09,Embajadores,3.0,Embajadores,Centro,28012,40.41126337271805,-3.6973054373712886,Apartment,Entire home/apt,Real Bed,,50.0,200.0,25.0,191,6,9.0,strict,3.0,"40.411263372718054, -3.6973054373712886",True,True,True,False,True,False,False,False
4,499911,2012-05-26,Embajadores,1.0,Embajadores,Centro,28012,40.41255625665078,-3.701155364799422,Apartment,Entire home/apt,Real Bed,,95.0,200.0,60.0,237,72,10.0,strict,1.0,"40.41255625665078, -3.701155364799422",True,True,True,False,True,False,True,False
5,1346747,2013-07-05,La Latina,2.0,Embajadores,Centro,28005,40.40790775263045,-3.705095395441632,Apartment,Entire home/apt,Real Bed,,69.0,120.0,25.0,234,27,9.0,moderate,1.0,"40.40790775263045, -3.7050953954416324",True,False,True,False,True,False,False,False
6,3097553,2014-05-10,,1.0,Embajadores,Centro,28012,40.408983157395134,-3.698251543680056,Apartment,Entire home/apt,Real Bed,,70.0,150.0,,153,11,10.0,moderate,1.0,"40.408983157395134, -3.698251543680056",True,True,False,False,True,False,False,False
7,13440784,2016-06-09,La Latina,2.0,Embajadores,Centro,28005,40.40835752461163,-3.704043265135827,Apartment,Private room,Real Bed,,30.0,,,0,2,9.0,moderate,2.0,"40.40835752461163, -3.704043265135827",True,False,True,True,True,False,False,False
8,7818234,2013-02-26,Embajadores,20.0,Embajadores,Centro,28012,40.411622134427205,-3.703281054404274,Apartment,Entire home/apt,Real Bed,,57.0,,20.0,319,9,9.0,moderate,20.0,"40.411622134427205, -3.703281054404274",True,True,True,False,True,False,False,False
9,1386096,2013-05-29,La Latina,1.0,Embajadores,Centro,28012,40.407338871766925,-3.7070192202047374,Apartment,Entire home/apt,Real Bed,,59.0,100.0,,250,5,10.0,moderate,1.0,"40.407338871766925, -3.7070192202047383",True,True,True,False,True,False,False,False
10,7907083,2014-11-17,Cortes,5.0,Embajadores,Centro,28012,40.41055884554781,-3.706428605664073,Apartment,Entire home/apt,Real Bed,,160.0,300.0,55.0,124,25,9.0,strict,5.0,"40.41055884554781, -3.706428605664073",True,True,False,False,True,False,False,False
11,14180827,2014-07-26,,1.0,Embajadores,Centro,28012,40.41216293682516,-3.701828068888151,Apartment,Private room,Real Bed,,25.0,,10.0,0,0,,flexible,1.0,"40.41216293682516, -3.7018280688881506",True,False,False,False,True,False,False,False
12,8011473,2013-09-14,,3.0,Embajadores,Centro,28012,40.41285947039403,-3.703050484421648,Apartment,Entire home/apt,Real Bed,,70.0,,35.0,364,0,,flexible,1.0,"40.41285947039403, -3.703050484421648",True,True,False,False,True,False,False,False
14,1942585,2011-12-22,Sol,9.0,Embajadores,Centro,28012,40.4090849589356,-3.7047444736040687,Apartment,Entire home/apt,Real Bed,,120.0,300.0,60.0,334,13,10.0,moderate,9.0,"40.4090849589356, -3.7047444736040687",True,True,False,False,True,False,False,False
15,9460773,2014-05-07,Malasaña,9.0,Embajadores,Centro,28012,40.405529543852246,-3.7023777824721167,Condominium,Entire home/apt,Real Bed,,45.0,150.0,15.0,138,68,9.0,strict,7.0,"40.405529543852246, -3.7023777824721167",True,True,False,True,True,False,False,False
16,16311700,2014-08-09,La Latina,1.0,Embajadores,Centro,28012,40.41196098544589,-3.706947682659962,Apartment,Private room,Real Bed,,37.0,,20.0,333,14,9.0,strict,1.0,"40.411960985445894, -3.706947682659962",True,True,True,False,True,False,False,False
20,5399733,2012-08-15,La Latina,3.0,Palacio,Centro,28005,40.410074240590106,-3.7106236892189832,Apartment,Entire home/apt,Real Bed,,89.0,100.0,25.0,66,33,10.0,strict,2.0,"40.410074240590106, -3.7106236892189832",True,True,True,False,True,False,True,False
21,10218330,2014-05-21,Casco Antiguo,27.0,Palacio,Centro,28013,40.42017438596894,-3.712628745100702,Condominium,Entire home/apt,Real Bed,,192.0,200.0,73.0,59,2,7.0,strict,3.0,"40.42017438596894, -3.712628745100702",True,True,True,False,True,False,False,False
22,14773153,2015-06-28,La Latina,20.0,Palacio,Centro,28005,40.40989805431663,-3.710947970973952,Loft,Entire home/apt,Real Bed,,100.0,300.0,30.0,330,0,,strict,9.0,"40.40989805431663, -3.7109479709739523",True,True,True,True,True,False,False,False
23,1666184,2013-09-14,,2.0,Palacio,Centro,28005,40.41179162145978,-3.709707931327856,Apartment,Entire home/apt,Real Bed,,70.0,,,223,24,9.0,flexible,2.0,"40.41179162145978, -3.709707931327856",True,True,False,True,True,False,False,False
24,17986327,2014-05-08,Justicia,114.0,Palacio,Centro,28012,40.41215429347274,-3.708006181023032,Apartment,Private room,Real Bed,,15.0,,15.0,293,0,,strict,97.0,"40.41215429347274, -3.708006181023032",True,False,True,False,True,False,False,False
25,7796518,2015-07-28,Palacio,3.0,Palacio,Centro,28013,40.4215557414176,-3.709847980154691,Apartment,Entire home/apt,Real Bed,,100.0,150.0,60.0,270,4,9.0,strict,1.0,"40.4215557414176, -3.709847980154691",True,True,True,False,True,False,False,False
26,12809312,2012-03-26,Sol,2.0,Palacio,Centro,28012,40.41276583905967,-3.7075909638953415,Apartment,Private room,Real Bed,,52.0,150.0,8.0,297,4,9.0,flexible,2.0,"40.41276583905967, -3.7075909638953415",True,True,True,False,True,False,False,False
27,9914784,2013-01-21,La Latina,5.0,Palacio,Centro,28005,40.41172628295956,-3.7126621848665033,Loft,Entire home/apt,Real Bed,,160.0,,,326,40,9.0,strict,4.0,"40.411726282959556, -3.7126621848665025",True,False,True,False,True,False,False,False
28,4196358,2014-01-20,Palacio,1.0,Palacio,Centro,28013,40.42099216161933,-3.710401967861499,Apartment,Entire home/apt,Real Bed,,80.0,,20.0,252,46,9.0,strict,1.0,"40.420992161619324, -3.710401967861499",True,True,True,True,True,False,False,False
29,13183219,2016-05-24,Palacio,2.0,Palacio,Centro,28005,40.412028475410665,-3.715778795417614,Apartment,Entire home/apt,Real Bed,,68.0,130.0,24.0,113,20,8.0,flexible,2.0,"40.412028475410665, -3.715778795417614",True,True,True,True,True,False,False,False
30,15508358,2016-10-14,Palacio,2.0,Palacio,Centro,28013,40.41512467560732,-3.7102938005955113,Apartment,Entire home/apt,Real Bed,,80.0,100.0,20.0,67,23,10.0,strict,2.0,"40.415124675607316, -3.7102938005955113",True,True,True,True,True,False,False,False
31,11050879,2016-02-04,,1.0,Palacio,Centro,28005,40.411268401960974,-3.711598282910733,Apartment,Entire home/apt,Real Bed,,60.0,250.0,,80,0,,strict,1.0,"40.411268401960974, -3.711598282910733",True,True,False,False,True,False,False,False
32,5547854,2013-10-02,Embajadores,8.0,Embajadores,Centro,28012,40.40645117724535,-3.699536858845091,Apartment,Private room,Real Bed,,28.0,,,342,87,9.0,moderate,8.0,"40.40645117724535, -3.699536858845091",True,True,True,False,True,False,False,False
33,843700,2012-11-21,La Latina,3.0,Embajadores,Centro,28012,40.4133780215198,-3.706167781380057,Bed & Breakfast,Private room,Real Bed,,50.0,200.0,50.0,34,11,10.0,moderate,3.0,"40.4133780215198, -3.706167781380057",True,False,True,False,True,True,False,True
34,2966350,2011-07-15,Embajadores,2.0,Embajadores,Centro,28012,40.41204778900974,-3.701021523297488,Apartment,Entire home/apt,Real Bed,,50.0,90.0,25.0,258,134,9.0,strict,1.0,"40.41204778900974, -3.7010215232974875",True,True,True,True,True,True,False,False
35,4319780,2014-07-26,Embajadores,1.0,Embajadores,Centro,28012,40.410469609965816,-3.701457309971553,Apartment,Private room,Real Bed,,40.0,150.0,20.0,350,60,9.0,flexible,1.0,"40.410469609965816, -3.701457309971553",True,True,True,False,True,False,False,False
36,17731717,2015-02-19,Embajadores,3.0,Embajadores,Centro,28012,40.40960280780846,-3.69501806290754,Apartment,Entire home/apt,Real Bed,,62.0,150.0,30.0,167,0,,strict,3.0,"40.40960280780846, -3.6950180629075398",True,True,False,True,True,False,False,False
37,12807973,2016-04-07,Cortes,5.0,Embajadores,Centro,28012,40.40581437264116,-3.700251544601717,Apartment,Entire home/apt,Real Bed,,50.0,,20.0,336,58,9.0,moderate,4.0,"40.40581437264116, -3.7002515446017172",True,True,True,True,True,False,False,False
38,12705598,2015-09-14,,7.0,Embajadores,Centro,28012,40.41098688796061,-3.7050591885379167,Apartment,Private room,Real Bed,,25.0,,,306,39,9.0,strict,7.0,"40.410986887960604, -3.7050591885379167",True,True,False,False,True,False,False,False
39,14894437,2016-02-17,Embajadores,2.0,Embajadores,Centro,28012,40.40765373401717,-3.699040885353488,Condominium,Entire home/apt,Real Bed,,47.0,,,264,28,10.0,strict,2.0,"40.407653734017174, -3.699040885353488",True,True,True,True,True,False,False,False
40,11690240,2013-12-10,,2.0,Embajadores,Centro,28012,40.40732471847044,-3.7006600238093688,House,Private room,Real Bed,,38.0,100.0,15.0,167,5,9.0,strict,1.0,"40.40732471847044, -3.7006600238093688",True,True,False,False,True,False,False,False
41,16959438,2014-05-06,Malasaña,7.0,Embajadores,Centro,28005,40.41086697749362,-3.706966665173075,Apartment,Entire home/apt,Real Bed,,75.0,100.0,25.0,344,3,9.0,strict,7.0,"40.41086697749362, -3.706966665173075",True,True,True,False,True,False,False,False
42,6936094,2014-05-09,La Latina,3.0,Embajadores,Centro,28012,40.41167401317618,-3.700290627988733,Bed & Breakfast,Private room,Real Bed,,38.0,150.0,10.0,300,1,8.0,flexible,2.0,"40.41167401317618, -3.7002906279887333",True,True,True,False,True,False,False,False
